epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5365,3.00545,4.01539,4.2113,0.00454,0.77083,0.00401,0.00062,0.00136,2.64509,3.82579,4.15145,0.00329412,0.00329412,0.00329412
2,43.1002,3.03094,4.0168,4.2107,0.00437,0.81901,0.00726,0.00234,0.00264,2.64833,3.82648,4.15317,0.00662089,0.00662089,0.00662089
3,60.0691,2.99857,4.01932,4.22284,0.0093,0.01432,0.01087,0.00251,0.00329,2.6377,4.35969,4.22333,0.00994106,0.00994106,0.00994106
4,77.6263,3.01633,4.01204,4.21041,0.01011,0.38746,0.00483,0.00032,0.00115,2.73463,45.8977,5.60169,0.0099703,0.0099703,0.0099703
5,94.9335,3.03004,3.98889,4.17223,0.00446,0.05394,0.00272,0.00038,0.00082,2.79802,inf,6.99773,0.0099604,0.0099604,0.0099604
6,112.441,3.01453,3.95589,4.1002,0.00373,0.34356,0.00322,0.0007,0.00116,2.79539,26.9171,4.48643,0.0099505,0.0099505,0.0099505
7,129.611,2.91648,3.831,3.82412,0.00398,0.28255,0.0087,0.00096,0.00254,2.9454,6.25811,4.00225,0.0099406,0.0099406,0.0099406
8,147.015,2.62654,3.56289,3.36716,0.34457,0.20089,0.052,0.00587,0.01835,2.6286,4.63713,3.69199,0.0099307,0.0099307,0.0099307
9,164.355,2.26968,3.36546,3.00393,0.37712,0.50837,0.13619,0.03945,0.0674,2.14601,3.31276,3.23725,0.0099208,0.0099208,0.0099208
10,181.597,1.99647,3.10343,2.69182,0.36363,0.55191,0.17359,0.09882,0.09776,1.89943,3.07364,2.86871,0.0099109,0.0099109,0.0099109
11,199.069,1.72117,2.66847,2.41727,0.36532,0.61843,0.22859,0.15727,0.13653,1.73001,3.02957,2.80903,0.009901,0.009901,0.009901
12,216.032,1.58572,2.5338,2.26676,0.3937,0.60209,0.24123,0.20049,0.16472,1.71937,2.93838,2.77192,0.0098911,0.0098911,0.0098911
13,232.701,1.44953,2.35082,2.11514,0.47807,0.39347,0.30737,0.23756,0.21543,1.58581,2.66481,2.62068,0.0098812,0.0098812,0.0098812
14,249.617,1.37305,2.2969,2.05309,0.43373,0.51447,0.24037,0.20849,0.16957,1.65745,2.65642,2.65435,0.0098713,0.0098713,0.0098713
15,266.547,1.29875,2.19543,1.96916,0.47426,0.57643,0.2849,0.24791,0.20663,1.4946,2.44832,2.51106,0.0098614,0.0098614,0.0098614
16,283.928,1.23013,2.03865,1.88451,0.50163,0.43278,0.30666,0.26507,0.22105,1.45603,2.38622,2.41789,0.0098515,0.0098515,0.0098515
17,301.021,1.21261,2.0274,1.86955,0.2216,0.66257,0.30812,0.27525,0.22934,1.46899,2.43431,2.39101,0.0098416,0.0098416,0.0098416
18,318.084,1.15684,1.94592,1.78548,0.2314,0.65991,0.33064,0.29316,0.24054,1.35204,2.51098,2.27452,0.0098317,0.0098317,0.0098317
19,335.214,1.15219,1.95723,1.7843,0.25678,0.64174,0.29865,0.24662,0.21735,1.35953,2.28184,2.26776,0.0098218,0.0098218,0.0098218
20,352.395,1.08183,1.86249,1.71778,0.23782,0.69423,0.27776,0.2278,0.2067,1.28192,2.27384,2.16341,0.0098119,0.0098119,0.0098119
